City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
233,ballina,-28.8667,153.5667,286.36,87,100,3.66,AU,1720385480
234,sinabang,2.4803,96.3801,298.62,89,100,2.19,ID,1720385482
235,togur,58.3631,82.8265,284.14,84,37,2.86,RU,1720385483
236,cabo san lucas,22.8909,-109.9124,308.32,38,0,5.14,MX,1720384935
237,ta`u,-14.2336,-169.5144,299.61,84,39,8.81,AS,1720385485
238,san jose de las matas,19.3391,-70.9382,305.79,46,87,5.69,DO,1720385486
239,caraguatatuba,-23.6338,-45.4899,289.87,100,74,0.87,BR,1720385361
240,remire-montjoly,4.9167,-52.2667,303.17,74,0,4.63,GF,1720385488
241,kyren,51.6828,102.1408,290.73,67,100,1.12,RU,1720385490
242,kalmunai,7.4167,81.8167,300.32,77,100,2.4,LK,1720385491
243,tindouf,27.6711,-8.1474,306.4,19,0,8.23,DZ,1720385492
244,cooma,-36.2333,149.1333,280.28,97,100,0.64,AU,1720385493
245,nar'yan-mar,67.6713,53.087,286.91,73,81,3.76,RU,1720385494
246,cockburn town,21.4612,-71.1419,300.91,87,91,7.98,TC,1720385495
247,yangiyul,41.112,69.0471,297.63,48,93,3.04,UZ,1720385496
248,antigo,45.1402,-89.1523,299.79,64,75,4.12,US,1720385498
249,zhigalovo,54.8097,105.1578,290.69,96,91,0.72,RU,1720385499
250,pangody,65.85,74.4859,284.41,80,3,4.19,RU,1720385500
251,buka,40.8108,69.1986,296.44,49,91,3.98,UZ,1720385501
252,carbonear,47.7332,-53.2148,291.34,94,100,4.82,CA,1720385502
253,la plata,-34.9215,-57.9545,282.61,57,60,2.88,AR,1720385503
254,inderbor,48.55,51.7833,303.54,34,0,5.8,KZ,1720385505
255,port said,31.2565,32.2841,300.14,83,0,6.69,EG,1720385506
256,luanda,-8.8368,13.2343,295.15,83,0,2.57,AO,1720385507
257,kone,-21.0595,164.8658,291.14,70,99,1.95,NC,1720385508
258,huarmey,-10.0681,-78.1522,294.06,76,98,5.89,PE,1720385509
259,winnemucca,40.973,-117.7357,311.18,4,0,6.69,US,1720385510
260,tataouine,32.9297,10.4518,301.27,43,0,3.58,TN,1720385512
261,dalhart,36.0595,-102.5133,300.16,41,0,3.6,US,1720385252
262,covington,39.0837,-84.5086,305.53,46,0,3.09,US,1720385514
263,gumushacikoy,40.8731,35.2147,292.33,87,0,2.22,TR,1720385515
264,kaiapoi,-43.3783,172.6401,278.05,88,0,2.2,NZ,1720385516
265,reggane,26.7158,0.1714,314.34,7,0,3.16,DZ,1720385517
266,fort mcmurray,56.7268,-111.381,300.92,34,75,4.12,CA,1720385479
267,khandyga,62.6667,135.6,287.71,61,22,1.83,RU,1720385520
268,puerto santa,-8.9906,-78.6456,292.82,83,90,6.34,PE,1720385521
269,weleri,-6.9713,110.0666,300.09,86,64,2.39,ID,1720385522
270,suoyarvi,62.0833,32.35,289.35,98,100,4.64,RU,1720385523
271,tabou,4.423,-7.3528,297.95,83,99,4.86,CI,1720385525
272,quepos,9.4236,-84.1652,300.92,77,97,2.02,CR,1720385526
273,saint-pierre,-21.3393,55.4781,292.97,68,0,3.09,RE,1720385528
274,marbletown,41.8834,-74.1132,306.63,50,81,0.89,US,1720385529
275,tarija,-21.5355,-64.7296,282.1,66,75,0.0,BO,1720385530
276,igrim,63.1906,64.4162,289.34,71,50,1.07,RU,1720385531
277,luga,58.7372,29.8453,289.05,97,100,2.05,RU,1720385532
278,coahuayana de hidalgo,18.7,-103.6583,305.08,63,37,3.42,MX,1720385533
279,aksu,41.1231,80.2644,295.81,46,97,5.41,CN,1720385535
280,belel,7.05,14.4333,289.63,94,99,0.39,CM,1720385536
281,grahamstown,-33.3042,26.5328,284.79,45,4,16.42,ZA,1720385537
282,tucuma,-0.1833,-50.05,300.69,74,2,3.39,BR,1720385538
283,ciro marina,39.3732,17.126,298.39,69,9,1.29,IT,1720385539
284,riyadh,24.6877,46.7219,306.23,11,50,5.11,SA,1720385402
285,labasa,-16.4167,179.3833,296.07,81,93,6.0,FJ,1720385541
286,ghat,24.9647,10.1728,308.48,14,0,4.97,LY,1720385543
287,gojra,31.1487,72.6866,304.99,60,31,2.36,PK,1720385544
288,tazovsky,67.4667,78.7,282.57,80,3,4.7,RU,1720385545
289,auki,-8.7676,160.7034,298.67,90,47,1.83,SB,1720385546
290,okhotsk,59.3833,143.3,285.79,83,100,0.55,RU,1720385547
291,kerikeri,-35.2268,173.9474,283.66,93,72,1.34,NZ,1720385550
292,minas de matahambre,22.5887,-83.9447,303.55,64,80,5.16,CU,1720385551
293,aral,40.5156,81.2636,298.0,38,68,4.64,CN,1720385552
294,nong ki,14.6868,102.538,298.12,86,98,2.23,TH,1720385553
295,tofol,5.3248,163.0078,301.43,78,100,5.23,FM,1720385554
296,tual,-5.6667,132.75,299.03,88,75,10.53,ID,1720385555
297,sarupathar,26.1984,93.8094,297.73,97,68,1.36,IN,1720385557
298,lambres-lez-douai,50.35,3.0667,288.71,85,100,3.65,FR,1720385558
299,cambria,35.5641,-121.0808,309.74,63,30,2.44,US,1720385559
300,los frentones,-26.4077,-61.4137,285.05,36,100,3.49,AR,1720385560
301,queenstown,-31.8976,26.8753,278.97,59,6,15.25,ZA,1720385561
302,hotan,37.0997,79.9269,299.28,25,88,4.19,CN,1720385562
303,vernon,50.2581,-119.2691,308.57,20,0,1.03,CA,1720385565
304,hoemul-li,41.4339,129.67,293.14,90,100,0.13,KP,1720385566
305,weno,7.4515,151.8468,300.12,94,40,2.06,FM,1720385567
306,yung shue wan,22.2333,114.1167,303.53,82,7,4.34,HK,1720385568
307,ausa,41.9271,2.2497,293.94,88,5,1.79,ES,1720385569
308,mrakovo,52.7161,56.6244,291.56,94,10,2.07,RU,1720385571
309,wajir,1.7471,40.0573,300.21,57,100,8.13,KE,1720385572
310,gobabis,-22.45,18.9667,281.43,32,0,4.61,NA,1720385573
311,qianzhou,28.3167,109.7167,296.7,93,85,0.68,CN,1720385574
312,skelleftea,64.7507,20.9528,287.59,99,100,3.6,SE,1720385575
313,igarka,67.4667,86.5833,286.83,73,95,3.24,RU,1720385576
314,pindobacu,-10.7417,-40.3608,295.93,55,81,2.44,BR,1720385578
315,mirnyy,62.5353,113.9611,287.58,73,61,1.81,RU,1720385579
316,senillosa,-39.0,-68.4167,283.03,30,0,3.4,AR,1720385581
317,portland,45.5234,-122.6762,309.63,30,0,1.34,US,1720385303
318,arraial do cabo,-22.9661,-42.0278,298.13,88,0,2.06,BR,1720385583
319,paulden,34.8856,-112.4682,313.53,12,0,4.02,US,1720385584
320,dunedin,-45.8742,170.5036,282.48,68,63,3.13,NZ,1720385586
321,quibala,-10.7337,14.98,289.82,67,13,0.54,AO,1720385587
322,kapuskasing,49.4169,-82.4331,302.2,44,40,4.63,CA,1720385588
323,fale old settlement,-9.3852,-171.2468,300.94,79,99,4.16,TK,1720385589
324,mlawa,53.1128,20.3841,289.31,53,99,1.48,PL,1720385590
325,brisas de zicatela,15.8369,-97.0419,303.16,64,23,2.72,MX,1720385591
326,ad dilam,23.9915,47.1627,308.38,11,93,3.89,SA,1720385594
327,labrador city,52.9463,-66.9114,298.1,41,40,5.66,CA,1720385595
328,kendal,54.3268,-2.7476,286.31,83,22,2.2,GB,1720385596
329,castillos,-34.1667,-53.8333,278.19,71,34,2.8,UY,1720385597
330,nicoya,10.1483,-85.452,301.22,80,85,1.4,CR,1720385598
331,alofi,-19.0595,-169.9187,298.09,61,40,7.2,NU,1720385599
332,nguigmi,14.2495,13.1092,302.73,61,2,4.04,NE,1720385601
333,yeniseysk,58.4497,92.1703,287.27,67,29,2.15,RU,1720385602
334,hammerfest,70.6634,23.6821,283.4,87,40,6.17,NO,1720385603
335,suksun,57.1431,57.3949,288.64,94,100,5.49,RU,1720385604
336,januaria,-15.4833,-44.3667,298.8,38,13,1.95,BR,1720385605
337,lihue,21.9789,-159.3672,299.92,69,100,6.69,US,1720385602
338,leua,48.2156,18.6071,294.41,74,98,1.69,SK,1720385607
339,mount isa,-20.7333,139.5,291.02,82,20,1.54,AU,1720385609
340,pariaman,-0.619,100.12,298.18,88,48,2.28,ID,1720385610
341,isangel,-19.55,169.2667,293.21,88,75,1.54,VU,1720385611
342,lycksele,64.5954,18.6735,285.08,94,75,2.57,SE,1720385612
343,neijiang,29.5835,105.0622,297.96,99,100,3.59,CN,1720385613
344,kayyerkan,69.3786,87.7439,283.51,69,0,5.2,RU,1720385614
345,taltal,-25.4,-70.4833,289.08,75,22,3.03,CL,1720385616
346,revda,56.801,59.9303,287.33,85,6,0.56,RU,1720385608
347,alice springs,-23.7,133.8833,281.9,100,100,0.0,AU,1720385618
348,santa ana,33.7456,-117.8678,307.21,57,20,5.14,US,1720385523
349,two rivers,44.1539,-87.5693,299.42,78,100,5.14,US,1720385620
350,bryne,58.7354,5.6477,285.96,90,75,5.14,NO,1720385621
351,elektrenai,54.7667,24.6333,291.44,84,87,2.96,LT,1720385622
352,constantia,44.1833,28.65,294.65,66,0,1.88,RO,1720385624
353,dawesville,30.9224,-84.0091,307.41,75,99,0.89,US,1720385625
354,nelson bay,-32.7167,152.15,285.93,97,100,0.45,AU,1720385626
355,hamilton,39.1834,-84.5333,305.26,46,0,3.09,US,1720385627
356,nadym,65.5333,72.5167,283.91,76,98,4.07,RU,1720385603
357,thabazimbi,-24.5917,27.4116,284.88,14,0,1.51,ZA,1720385630
358,tutong,4.8,114.65,297.2,92,96,2.42,BN,1720385632
359,amga,60.8953,131.9608,289.28,68,99,1.01,RU,1720385633
360,kupjansk,49.7209,37.5998,294.18,69,0,4.01,UA,1720385634
361,malango,-2.9627,119.9001,291.97,97,96,0.84,ID,1720385635
362,east london,-33.0153,27.9116,290.36,33,0,10.27,ZA,1720385636
